ID	ENTREZ_GENE_ID	SPOT_ID
1	1	1
2	2	2
3	3	3
9	9	9
10	10	10
12	12	12
13	13	13
14	14	14
15	15	15
16	16	16
18	18	18
19	19	19
20	20	20
21	21	21
22	22	22
23	23	23
24	24	24
25	25	25
26	26	26
27	27	27
28	28	28
29	29	29
30	30	30
31	31	31
32	32	32
33	33	33
34	34	34
35	35	35
36	36	36
37	37	37
38	38	38
39	39	39
40	40	40
41	41	41
43	43	43
47	47	47
48	48	48
49	49	49
50	50	50
51	51	51
52	52	52
53	53	53
54	54	54
55	55	55
56	56	56
58	58	58
59	59	59
60	60	60
70	70	70
71	71	71
72	72	72
81	81	81
86	86	86
87	87	87
88	88	88
89	89	89
90	90	90
91	91	91
92	92	92
93	93	93
94	94	94
95	95	95
97	97	97
98	98	98
100	100	100
101	101	101
102	102	102
103	103	103
104	104	104
105	105	105
107	107	107
108	108	108
109	109	109
111	111	111
112	112	112
113	113	113
114	114	114
115	115	115
116	116	116
117	117	117
118	118	118
119	119	119
120	120	120
123	123	123
124	124	124
125	125	125
126	126	126
127	127	127
128	128	128
130	130	130
131	131	131
132	132	132
133	133	133
134	134	134
135	135	135
136	136	136
140	140	140
141	141	141
142	142	142
143	143	143
146	146	146
147	147	147
148	148	148
150	150	150
151	151	151
152	152	152
153	153	153
154	154	154
155	155	155
156	156	156
157	157	157
158	158	158
159	159	159
160	160	160
161	161	161
162	162	162
163	163	163
164	164	164
165	165	165
166	166	166
167	167	167
172	172	172
173	173	173
174	174	174
175	175	175
176	176	176
177	177	177
178	178	178
181	181	181
182	182	182
183	183	183
185	185	185
186	186	186
187	187	187
189	189	189
190	190	190
191	191	191
196	196	196
197	197	197
199	199	199
202	202	202
203	203	203
204	204	204
205	205	205
207	207	207
208	208	208
210	210	210
211	211	211
212	212	212
213	213	213
214	214	214
215	215	215
216	216	216
217	217	217
218	218	218
219	219	219
220	220	220
221	221	221
222	222	222
223	223	223
224	224	224
225	225	225
226	226	226
228	228	228
229	229	229
230	230	230
231	231	231
238	238	238
239	239	239
240	240	240
241	241	241
242	242	242
245	245	245
246	246	246
247	247	247
248	248	248
249	249	249
250	250	250
251	251	251
257	257	257
258	258	258
259	259	259
262	262	262
265	265	265
266	266	266
267	267	267
268	268	268
269	269	269
270	270	270
271	271	271
272	272	272
273	273	273
274	274	274
275	275	275
278	278	278
283	283	283
284	284	284
285	285	285
286	286	286
287	287	287
288	288	288
290	290	290
291	291	291
292	292	292
293	293	293
301	301	301
302	302	302
303	303	303
305	305	305
306	306	306
307	307	307
308	308	308
309	309	309
310	310	310
311	311	311
312	312	312
313	313	313
314	314	314
316	316	316
317	317	317
318	318	318
319	319	319
320	320	320
321	321	321
322	322	322
323	323	323
324	324	324
325	325	325
326	326	326
327	327	327
328	328	328
329	329	329
330	330	330
331	331	331
332	332	332
333	333	333
334	334	334
335	335	335
336	336	336
337	337	337
338	338	338
339	339	339
341	341	341
343	343	343
344	344	344
345	345	345
346	346	346
347	347	347
348	348	348
350	350	350
351	351	351
353	353	353
354	354	354
355	355	355
356	356	356
357	357	357
358	358	358
359	359	359
360	360	360
361	361	361
362	362	362
363	363	363
364	364	364
366	366	366
367	367	367
368	368	368
369	369	369
372	372	372
373	373	373
374	374	374
375	375	375
377	377	377
378	378	378
379	379	379
381	381	381
382	382	382
383	383	383
384	384	384
387	387	387
388	388	388
389	389	389
390	390	390
391	391	391
392	392	392
393	393	393
394	394	394
395	395	395
396	396	396
397	397	397
398	398	398
399	399	399
400	400	400
401	401	401
402	402	402
403	403	403
405	405	405
406	406	406
407	407	407
408	408	408
409	409	409
410	410	410
411	411	411
412	412	412
414	414	414
415	415	415
416	416	416
417	417	417
419	419	419
420	420	420
421	421	421
427	427	427
429	429	429
430	430	430
432	432	432
433	433	433
434	434	434
435	435	435
438	438	438
439	439	439
440	440	440
443	443	443
444	444	444
445	445	445
460	460	460
462	462	462
463	463	463
466	466	466
467	467	467
468	468	468
471	471	471
472	472	472
473	473	473
474	474	474
475	475	475
476	476	476
477	477	477
478	478	478
479	479	479
480	480	480
481	481	481
482	482	482
483	483	483
486	486	486
487	487	487
488	488	488
489	489	489
490	490	490
491	491	491
492	492	492
493	493	493
495	495	495
496	496	496
498	498	498
501	501	501
506	506	506
509	509	509
513	513	513
514	514	514
515	515	515
516	516	516
517	517	517
518	518	518
521	521	521
522	522	522
523	523	523
525	525	525
526	526	526
527	527	527
528	528	528
529	529	529
533	533	533
534	534	534
535	535	535
537	537	537
538	538	538
539	539	539
540	540	540
545	545	545
546	546	546
547	547	547
549	549	549
550	550	550
551	551	551
552	552	552
553	553	553
554	554	554
558	558	558
563	563	563
566	566	566
567	567	567
570	570	570
571	571	571
572	572	572
573	573	573
574	574	574
575	575	575
576	576	576
577	577	577
578	578	578
579	579	579
580	580	580
581	581	581
582	582	582
583	583	583
585	585	585
586	586	586
587	587	587
590	590	590
593	593	593
594	594	594
595	595	595
596	596	596
597	597	597
598	598	598
599	599	599
602	602	602
604	604	604
